skin_tone,nail_shape,nail_length,style_preference,occasion,recommended_design
neutral,round,short,bold,wedding,Terracotta Swirl
warm,coffin,short,bold,date,Minimal Nude
warm,round,short,minimal,work,Minimal Nude
warm,almond,short,bold,date,Cat Eye
cool,almond,medium,minimal,work,Minimal Nude
cool,square,short,minimal,wedding,Korean Pink
cool,round,medium,classic,date,Korean Pink
warm,coffin,medium,bold,daily,Cat Eye
cool,round,long,classic,date,Korean Pink
cool,almond,short,bold,daily,French Classic
cool,round,short,minimal,party,Korean Pink
neutral,stiletto,medium,minimal,wedding,Minimal Nude
neutral,square,long,bold,daily,Terracotta Swirl
warm,almond,long,minimal,work,Minimal Nude
cool,coffin,long,bold,work,Cat Eye
warm,oval,short,classic,party,French Classic
warm,almond,long,classic,work,French Classic
cool,coffin,medium,minimal,wedding,Korean Pink
neutral,almond,long,classic,date,Korean Pink
neutral,squoval,medium,minimal,work,Minimal Nude
warm,stiletto,short,minimal,work,Minimal Nude
neutral,squoval,long,minimal,party,Terracotta Swirl
cool,almond,medium,bold,daily,Cat Eye
warm,coffin,long,classic,wedding,Glitter Gold
cool,oval,medium,minimal,wedding,Korean Pink
warm,almond,short,bold,wedding,Glitter Gold
neutral,almond,short,minimal,wedding,Minimal Nude
neutral,stiletto,long,minimal,date,Minimal Nude
warm,round,medium,classic,work,Korean Pink
warm,round,long,classic,daily,French Classic
neutral,stiletto,short,minimal,party,Minimal Nude
warm,square,long,bold,party,Glitter Gold
neutral,stiletto,long,bold,work,Cat Eye
cool,coffin,long,classic,party,Korean Pink
cool,round,short,minimal,daily,Minimal Nude
neutral,almond,short,bold,work,Cat Eye
neutral,round,short,minimal,daily,Minimal Nude
warm,almond,short,classic,party,French Classic
warm,coffin,long,bold,party,Glitter Gold
cool,stiletto,medium,minimal,daily,French Classic
cool,squoval,medium,classic,daily,French Classic
neutral,round,short,classic,wedding,French Classic
warm,oval,short,minimal,date,Minimal Nude
cool,oval,medium,classic,work,Korean Pink
warm,squoval,long,minimal,daily,Minimal Nude
neutral,stiletto,short,minimal,work,Minimal Nude
cool,squoval,short,classic,daily,French Classic
warm,squoval,medium,classic,wedding,Korean Pink
neutral,stiletto,long,bold,party,Terracotta Swirl
cool,oval,short,bold,date,Korean Pink
warm,round,long,classic,date,Korean Pink
neutral,oval,short,bold,daily,French Classic
warm,almond,short,bold,work,Minimal Nude
neutral,oval,long,bold,daily,Terracotta Swirl
cool,coffin,long,bold,date,Marble
cool,oval,long,bold,wedding,Marble
cool,oval,long,bold,wedding,Marble
warm,round,medium,bold,date,Cat Eye
warm,almond,short,bold,wedding,Glitter Gold
cool,round,short,classic,wedding,Korean Pink
neutral,coffin,medium,bold,date,Marble
cool,coffin,short,minimal,wedding,Korean Pink
warm,coffin,long,minimal,wedding,Glitter Gold
warm,coffin,medium,minimal,wedding,Minimal Nude
cool,stiletto,short,minimal,party,Korean Pink
warm,round,medium,minimal,wedding,Minimal Nude
cool,almond,long,classic,date,Korean Pink
neutral,oval,long,minimal,wedding,Terracotta Swirl
warm,squoval,short,minimal,wedding,Minimal Nude
warm,square,short,bold,work,Minimal Nude
cool,stiletto,long,classic,date,Korean Pink
warm,stiletto,short,minimal,party,Terracotta Swirl
cool,stiletto,medium,bold,work,Cat Eye
neutral,round,medium,minimal,party,Terracotta Swirl
cool,square,medium,minimal,work,Minimal Nude
cool,square,medium,minimal,wedding,Korean Pink
neutral,squoval,long,bold,wedding,Terracotta Swirl
warm,square,short,bold,wedding,Terracotta Swirl
cool,square,long,classic,party,Korean Pink
neutral,round,medium,bold,work,Cat Eye
neutral,squoval,short,bold,date,Cat Eye
neutral,coffin,long,minimal,wedding,Terracotta Swirl
neutral,square,long,classic,daily,French Classic
cool,almond,medium,bold,party,Marble
neutral,square,long,minimal,work,Minimal Nude
cool,coffin,long,minimal,date,Korean Pink
cool,almond,short,classic,wedding,Korean Pink
neutral,almond,long,classic,party,Terracotta Swirl
neutral,oval,long,classic,work,French Classic
cool,almond,long,bold,date,Marble
warm,coffin,medium,minimal,work,Minimal Nude
warm,oval,medium,bold,daily,Cat Eye
neutral,almond,short,bold,party,Terracotta Swirl
warm,oval,long,bold,daily,Glitter Gold
warm,stiletto,medium,minimal,work,Minimal Nude
neutral,almond,medium,minimal,date,Minimal Nude
warm,squoval,short,classic,date,French Classic
neutral,square,medium,bold,date,Cat Eye
neutral,squoval,short,bold,party,Terracotta Swirl
warm,stiletto,long,classic,date,Korean Pink
warm,square,medium,minimal,wedding,Minimal Nude
cool,square,long,minimal,work,Minimal Nude
cool,coffin,short,bold,work,Cat Eye
cool,almond,medium,classic,daily,French Classic
cool,squoval,long,bold,daily,Cat Eye
neutral,squoval,medium,minimal,wedding,Minimal Nude
cool,stiletto,medium,bold,date,Cat Eye
warm,squoval,short,classic,party,French Classic
cool,square,long,bold,party,Marble
cool,oval,long,bold,daily,Cat Eye
neutral,almond,long,minimal,daily,Minimal Nude
warm,stiletto,medium,minimal,daily,Minimal Nude
cool,oval,medium,classic,wedding,Korean Pink
cool,square,medium,classic,daily,French Classic
neutral,almond,short,classic,work,French Classic
neutral,round,short,minimal,work,Minimal Nude
neutral,oval,short,minimal,party,Minimal Nude
neutral,oval,medium,bold,wedding,Terracotta Swirl
warm,almond,long,bold,daily,Glitter Gold
warm,square,short,bold,daily,Minimal Nude
neutral,coffin,medium,classic,work,Berry Jelly
neutral,oval,short,bold,wedding,Terracotta Swirl
neutral,stiletto,short,bold,daily,French Classic
cool,coffin,medium,minimal,date,Korean Pink
warm,stiletto,medium,classic,daily,French Classic
cool,coffin,medium,bold,work,Cat Eye
neutral,almond,long,classic,date,Korean Pink
neutral,stiletto,medium,classic,party,Korean Pink
neutral,square,medium,minimal,daily,Minimal Nude
cool,oval,medium,bold,date,Cat Eye
cool,round,medium,classic,work,Korean Pink
cool,stiletto,medium,classic,wedding,Korean Pink
neutral,square,long,minimal,date,Minimal Nude
warm,oval,long,classic,party,Glitter Gold
warm,coffin,medium,bold,party,Glitter Gold
warm,round,medium,minimal,party,Minimal Nude
cool,coffin,long,classic,party,Korean Pink
cool,squoval,long,bold,wedding,Marble
cool,square,medium,classic,work,Korean Pink
warm,square,short,bold,date,Cat Eye
neutral,oval,short,minimal,party,Minimal Nude
neutral,stiletto,long,bold,wedding,Terracotta Swirl
warm,square,short,classic,work,French Classic
neutral,almond,short,classic,daily,French Classic
neutral,square,long,minimal,party,Terracotta Swirl
warm,almond,medium,classic,party,Glitter Gold
warm,round,medium,classic,daily,French Classic
cool,squoval,short,bold,daily,French Classic
neutral,square,short,minimal,daily,Minimal Nude
cool,almond,long,bold,work,Cat Eye
cool,squoval,medium,classic,date,Korean Pink
cool,almond,long,minimal,date,Korean Pink
